id,name,description
21,La Casa,"Comida fresca. Restaurante tradicional de la casa: platos caseros, pollo a la brasa y guisos al estilo familiar. Ambiente acogedor."
22,El Puerto Del Valle,"Comida selecta. Mariscos frescos, ceviche, camarones y pescado a la plancha. Vista al mar y horario para cenas."
23,Doña Lupita Clásico,"Comida mexicana auténtica: tacos al pastor, mole poblano y salsas caseras. Excelente para familias. Ambiente elegante."
24,Parrilla Norte Tradicional,"Parrilla y carnes: cortes importados, parrilladas para dos y servicio de cerveza artesanal. Ofrecemos reservas online."
25,Sakura Sushi Centro,"Sushi y cocina japonesa: nigiri, maki, ramen y menú vegetariano. Ideal para cenas formales. Terraza disponible."
26,Pizza Roma Puno,"Pizzas al horno de leña, masa fina, ingredientes italianos y opciones vegetarianas. Entrega a domicilio. Ofrecemos wifi gratis."
27,El Rincón Vegetal Clásico,"Comida tradicional. Opciones veganas y vegetarianas, bowls, smoothies y postres saludables. Ambiente moderno."
28,Café Central Del Valle,"Desayunos, brunch y café de especialidad. Tostadas, croissants y pastelería artesanal. Wifi gratis. Ofrecemos estacionamiento."
29,Tacos El Rey Express,"Deliciosa y familiar. Tacos y antojitos: pastor, bistec, suadero y salsa picante. Comida rápida tradicional."
30,La Tasca Real,"Tapas y platos españoles: paella, jamón ibérico, sangría y menú para compartir. Música en vivo fines de semana. Música en vivo disponible."
31,Mar y Tierra,Selecta y elegante. Fusión mediterránea: platos con mariscos y carnes. Recomendado: risotto de camarón.
32,Bistro Provenza Premium,"Artesanal y luminoso. Cocina francesa y platillos europeos: quiches, crepes y menú ejecutivo al mediodía."
33,El Mercado Premium,Tradicional y amplio. Ingredientes locales y mercado-cocina: platillos del día con productos de temporada.
34,La Esquina Moderno,"Comida rápida y antojitos: hamburguesas gourmet, papas fritas y batidos. Excelente para niños. Ofrecemos menú infantil."
35,Brasa y Sazón Express,"Comida auténtica. Pollo rostizado, adobos caseros y guarniciones tradicionales. Servicio familiar y para llevar."
36,Sabor a Mar Cusco,"Deliciosa y íntimo. Especialidad en mariscos y pescados: cócteles de mariscos, filete a la mantequilla."
37,Noche de Tapas Este,"Bar de tapas y vinos, ambiente nocturno y música en vivo. Ideal para grupos. Ofrecemos terraza."
38,Panadería Dulce Hogar Express,"Panadería y repostería: pan fresco, pasteles personalizados y café por la mañana. Ofrecemos estacionamiento."
39,La Cantina Gourmet,"Cantina mexicana clásica: botanas, tequilas, mezcales y platos fuertes estilo casero. Ofrecemos buffet."
40,Sabor Asiático Sur,"Cocina asiática variada: wok, dim sum, sushi y platos picantes. Servicio rápido. Música en vivo disponible."
41,La Casa,"Comida deliciosa. Restaurante tradicional de la casa: platos caseros, pollo a la brasa y guisos al estilo familiar. Ambiente acogedor."
42,El Puerto Tradicional,"Mariscos frescos, ceviche, camarones y pescado a la plancha. Vista al mar y horario para cenas. Pet friendly disponible."
43,Doña Lupita Este,"Comida mexicana auténtica: tacos al pastor, mole poblano y salsas caseras. Excelente para familias. Ambiente amplio."
44,Parrilla Norte Imperial,"Parrilla y carnes: cortes importados, parrilladas para dos y servicio de cerveza artesanal. Terraza disponible."
45,Sakura Sushi Real,"Auténtica y amplio. Sushi y cocina japonesa: nigiri, maki, ramen y menú vegetariano. Ideal para cenas formales."
46,Pizza Roma Iquitos,"Pizzas al horno de leña, masa fina, ingredientes italianos y opciones vegetarianas. Entrega a domicilio. Ambiente íntimo."
47,El Rincón Vegetal Clásico,"Deliciosa y elegante. Opciones veganas y vegetarianas, bowls, smoothies y postres saludables. Ambiente moderno."
48,Café Central Gourmet,"Desayunos, brunch y café de especialidad. Tostadas, croissants y pastelería artesanal. Wifi gratis. Ambiente rústico."
49,Tacos El Rey Del Valle,"Tacos y antojitos: pastor, bistec, suadero y salsa picante. Comida rápida tradicional. Ofrecemos delivery."
50,La Tasca Premium,"Tapas y platos españoles: paella, jamón ibérico, sangría y menú para compartir. Música en vivo fines de semana. Ofrecemos buffet."
51,Mar y Tierra,Fusión mediterránea: platos con mariscos y carnes. Recomendado: risotto de camarón. Ambiente acogedor.
52,Bistro Provenza Centro,"Cocina francesa y platillos europeos: quiches, crepes y menú ejecutivo al mediodía. Buffet disponible."
53,El Mercado Gourmet,Ingredientes locales y mercado-cocina: platillos del día con productos de temporada. Ofrecemos reservas online.
54,La Esquina Premium,"Comida rápida y antojitos: hamburguesas gourmet, papas fritas y batidos. Excelente para niños. Menú infantil disponible."
55,Brasa y Sazón Oeste,"Gourmet y moderno. Pollo rostizado, adobos caseros y guarniciones tradicionales. Servicio familiar y para llevar."
56,Sabor a Mar Lima,"Artesanal y familiar. Especialidad en mariscos y pescados: cócteles de mariscos, filete a la mantequilla."
57,Noche de Tapas Gourmet,"Deliciosa y moderno. Bar de tapas y vinos, ambiente nocturno y música en vivo. Ideal para grupos."
58,Panadería Dulce Hogar Este,"Panadería y repostería: pan fresco, pasteles personalizados y café por la mañana. Ambiente íntimo."
59,La Cantina Tradicional,"Cantina mexicana clásica: botanas, tequilas, mezcales y platos fuertes estilo casero. Ofrecemos buffet."
60,Sabor Asiático Gourmet,"Cocina asiática variada: wok, dim sum, sushi y platos picantes. Servicio rápido. Buffet disponible."
61,La Casa,"Selecta y acogedor. Restaurante tradicional de la casa: platos caseros, pollo a la brasa y guisos al estilo familiar. Ambiente acogedor."
62,El Puerto Real,"Comida casera. Mariscos frescos, ceviche, camarones y pescado a la plancha. Vista al mar y horario para cenas."
63,Doña Lupita Tradicional,"Comida mexicana auténtica: tacos al pastor, mole poblano y salsas caseras. Excelente para familias. Ambiente elegante."
64,Parrilla Norte Sur,"Parrilla y carnes: cortes importados, parrilladas para dos y servicio de cerveza artesanal. Ambiente acogedor."
65,Sakura Sushi Clásico,"Sushi y cocina japonesa: nigiri, maki, ramen y menú vegetariano. Ideal para cenas formales. Ofrecemos para llevar."
66,Pizza Roma Moquegua,"Pizzas al horno de leña, masa fina, ingredientes italianos y opciones vegetarianas. Entrega a domicilio. Wifi gratis disponible."
67,El Rincón Vegetal Oeste,"Comida tradicional. Opciones veganas y vegetarianas, bowls, smoothies y postres saludables. Ambiente moderno."
68,Café Central Real,"Casera y acogedor. Desayunos, brunch y café de especialidad. Tostadas, croissants y pastelería artesanal. Wifi gratis."
69,Tacos El Rey Real,"Tacos y antojitos: pastor, bistec, suadero y salsa picante. Comida rápida tradicional. Para llevar disponible."
70,La Tasca Del Valle,"Auténtica y moderno. Tapas y platos españoles: paella, jamón ibérico, sangría y menú para compartir. Música en vivo fines de semana."
71,Mar y Tierra,Fusión mediterránea: platos con mariscos y carnes. Recomendado: risotto de camarón. Ambiente íntimo.
72,Bistro Provenza Gourmet,"Cocina francesa y platillos europeos: quiches, crepes y menú ejecutivo al mediodía. Ofrecemos wifi gratis."
73,El Mercado Sur,Tradicional y luminoso. Ingredientes locales y mercado-cocina: platillos del día con productos de temporada.
74,La Esquina Imperial,"Comida rápida y antojitos: hamburguesas gourmet, papas fritas y batidos. Excelente para niños. Ofrecemos música en vivo."
75,Brasa y Sazón Real,"Selecta y amplio. Pollo rostizado, adobos caseros y guarniciones tradicionales. Servicio familiar y para llevar."
76,Sabor a Mar Puno,"Selecta y moderno. Especialidad en mariscos y pescados: cócteles de mariscos, filete a la mantequilla."
77,Noche de Tapas Premium,"Casera y rústico. Bar de tapas y vinos, ambiente nocturno y música en vivo. Ideal para grupos."
78,Panadería Dulce Hogar Imperial,"Comida deliciosa. Panadería y repostería: pan fresco, pasteles personalizados y café por la mañana."
79,La Cantina Centro,"Cantina mexicana clásica: botanas, tequilas, mezcales y platos fuertes estilo casero. Pet friendly disponible."
80,Sabor Asiático Express,"Cocina asiática variada: wok, dim sum, sushi y platos picantes. Servicio rápido. Ambiente acogedor."
81,La Casa,"Restaurante tradicional de la casa: platos caseros, pollo a la brasa y guisos al estilo familiar. Ambiente acogedor. Ofrecemos menú infantil."
82,El Puerto Moderno,"Comida auténtica. Mariscos frescos, ceviche, camarones y pescado a la plancha. Vista al mar y horario para cenas."
83,Doña Lupita Express,"Comida tradicional. Comida mexicana auténtica: tacos al pastor, mole poblano y salsas caseras. Excelente para familias."
84,Parrilla Norte Imperial,"Comida deliciosa. Parrilla y carnes: cortes importados, parrilladas para dos y servicio de cerveza artesanal."
85,Sakura Sushi Este,"Sushi y cocina japonesa: nigiri, maki, ramen y menú vegetariano. Ideal para cenas formales. Ambiente rústico."
86,Pizza Roma Trujillo,"Pizzas al horno de leña, masa fina, ingredientes italianos y opciones vegetarianas. Entrega a domicilio. Ofrecemos música en vivo."
87,El Rincón Vegetal Tradicional,"Deliciosa y moderno. Opciones veganas y vegetarianas, bowls, smoothies y postres saludables. Ambiente moderno."
88,Café Central Norte,"Comida gourmet. Desayunos, brunch y café de especialidad. Tostadas, croissants y pastelería artesanal. Wifi gratis."
89,Tacos El Rey Tradicional,"Tacos y antojitos: pastor, bistec, suadero y salsa picante. Comida rápida tradicional. Ambiente amplio."
90,La Tasca Real,"Tapas y platos españoles: paella, jamón ibérico, sangría y menú para compartir. Música en vivo fines de semana. Pet friendly disponible."
91,Mar y Tierra,Fusión mediterránea: platos con mariscos y carnes. Recomendado: risotto de camarón. Buffet disponible.
92,Bistro Provenza Tradicional,"Cocina francesa y platillos europeos: quiches, crepes y menú ejecutivo al mediodía. Ambiente íntimo."
93,El Mercado Premium,Ingredientes locales y mercado-cocina: platillos del día con productos de temporada. Para llevar disponible.
94,La Esquina Este,"Comida rápida y antojitos: hamburguesas gourmet, papas fritas y batidos. Excelente para niños. Pet friendly disponible."
95,Brasa y Sazón Premium,"Pollo rostizado, adobos caseros y guarniciones tradicionales. Servicio familiar y para llevar. Estacionamiento disponible."
96,Sabor a Mar Chiclayo,"Fresca y amplio. Especialidad en mariscos y pescados: cócteles de mariscos, filete a la mantequilla."
97,Noche de Tapas Colonial,"Bar de tapas y vinos, ambiente nocturno y música en vivo. Ideal para grupos. Ofrecemos pet friendly."
98,Panadería Dulce Hogar Express,"Panadería y repostería: pan fresco, pasteles personalizados y café por la mañana. Ambiente rústico."
99,La Cantina Tradicional,"Cantina mexicana clásica: botanas, tequilas, mezcales y platos fuertes estilo casero. Ofrecemos terraza."
100,Sabor Asiático Centro,"Cocina asiática variada: wok, dim sum, sushi y platos picantes. Servicio rápido. Ofrecemos menú infantil."
101,La Casa,"Comida artesanal. Restaurante tradicional de la casa: platos caseros, pollo a la brasa y guisos al estilo familiar. Ambiente acogedor."
102,El Puerto Tradicional,"Mariscos frescos, ceviche, camarones y pescado a la plancha. Vista al mar y horario para cenas. Ambiente amplio."
103,Doña Lupita Moderno,"Tradicional y acogedor. Comida mexicana auténtica: tacos al pastor, mole poblano y salsas caseras. Excelente para familias."
104,Parrilla Norte Gourmet,"Parrilla y carnes: cortes importados, parrilladas para dos y servicio de cerveza artesanal. Estacionamiento disponible."
105,Sakura Sushi Premium,"Sushi y cocina japonesa: nigiri, maki, ramen y menú vegetariano. Ideal para cenas formales. Wifi gratis disponible."
106,Pizza Roma Tumbes,"Pizzas al horno de leña, masa fina, ingredientes italianos y opciones vegetarianas. Entrega a domicilio. Estacionamiento disponible."
107,El Rincón Vegetal Tradicional,"Deliciosa y familiar. Opciones veganas y vegetarianas, bowls, smoothies y postres saludables. Ambiente moderno."
108,Café Central Gourmet,"Desayunos, brunch y café de especialidad. Tostadas, croissants y pastelería artesanal. Wifi gratis. Pet friendly disponible."
109,Tacos El Rey Oeste,"Tacos y antojitos: pastor, bistec, suadero y salsa picante. Comida rápida tradicional. Ambiente íntimo."
110,La Tasca Express,"Artesanal y íntimo. Tapas y platos españoles: paella, jamón ibérico, sangría y menú para compartir. Música en vivo fines de semana."
111,Mar y Tierra,Fusión mediterránea: platos con mariscos y carnes. Recomendado: risotto de camarón. Música en vivo disponible.
112,Bistro Provenza Este,"Cocina francesa y platillos europeos: quiches, crepes y menú ejecutivo al mediodía. Ambiente íntimo."
113,El Mercado Gourmet,Ingredientes locales y mercado-cocina: platillos del día con productos de temporada. Estacionamiento disponible.
114,La Esquina Real,"Comida selecta. Comida rápida y antojitos: hamburguesas gourmet, papas fritas y batidos. Excelente para niños."
115,Brasa y Sazón Norte,"Pollo rostizado, adobos caseros y guarniciones tradicionales. Servicio familiar y para llevar. Ambiente íntimo."
116,Sabor a Mar Ayacucho,"Especialidad en mariscos y pescados: cócteles de mariscos, filete a la mantequilla. Ambiente moderno."
117,Noche de Tapas Express,"Comida deliciosa. Bar de tapas y vinos, ambiente nocturno y música en vivo. Ideal para grupos."
118,Panadería Dulce Hogar Este,"Panadería y repostería: pan fresco, pasteles personalizados y café por la mañana. Ambiente elegante."
119,La Cantina Premium,"Comida artesanal. Cantina mexicana clásica: botanas, tequilas, mezcales y platos fuertes estilo casero."
120,Sabor Asiático Clásico,"Cocina asiática variada: wok, dim sum, sushi y platos picantes. Servicio rápido. Reservas online disponible."
121,La Casa,"Tradicional y íntimo. Restaurante tradicional de la casa: platos caseros, pollo a la brasa y guisos al estilo familiar. Ambiente acogedor."
122,El Puerto Premium,"Mariscos frescos, ceviche, camarones y pescado a la plancha. Vista al mar y horario para cenas. Ofrecemos reservas online."
123,Doña Lupita Real,"Comida mexicana auténtica: tacos al pastor, mole poblano y salsas caseras. Excelente para familias. Menú infantil disponible."
124,Parrilla Norte Norte,"Parrilla y carnes: cortes importados, parrilladas para dos y servicio de cerveza artesanal. Música en vivo disponible."
125,Sakura Sushi Gourmet,"Fresca y moderno. Sushi y cocina japonesa: nigiri, maki, ramen y menú vegetariano. Ideal para cenas formales."
126,Pizza Roma Chimbote,"Pizzas al horno de leña, masa fina, ingredientes italianos y opciones vegetarianas. Entrega a domicilio. Terraza disponible."
127,El Rincón Vegetal Del Valle,"Opciones veganas y vegetarianas, bowls, smoothies y postres saludables. Ambiente moderno. Ofrecemos para llevar."
128,Café Central Real,"Desayunos, brunch y café de especialidad. Tostadas, croissants y pastelería artesanal. Wifi gratis. Ambiente elegante."
129,Tacos El Rey Imperial,"Tacos y antojitos: pastor, bistec, suadero y salsa picante. Comida rápida tradicional. Delivery disponible."
130,La Tasca Oeste,"Tapas y platos españoles: paella, jamón ibérico, sangría y menú para compartir. Música en vivo fines de semana. Ambiente rústico."
131,Mar y Tierra,Comida auténtica. Fusión mediterránea: platos con mariscos y carnes. Recomendado: risotto de camarón.
132,Bistro Provenza Real,"Comida auténtica. Cocina francesa y platillos europeos: quiches, crepes y menú ejecutivo al mediodía."
133,El Mercado Del Valle,Ingredientes locales y mercado-cocina: platillos del día con productos de temporada. Ambiente moderno.
134,La Esquina Tradicional,"Comida rápida y antojitos: hamburguesas gourmet, papas fritas y batidos. Excelente para niños. Terraza disponible."
135,Brasa y Sazón Clásico,"Pollo rostizado, adobos caseros y guarniciones tradicionales. Servicio familiar y para llevar. Ambiente luminoso."
136,Sabor a Mar Puno,"Especialidad en mariscos y pescados: cócteles de mariscos, filete a la mantequilla. Ofrecemos buffet."
137,Noche de Tapas Premium,"Comida artesanal. Bar de tapas y vinos, ambiente nocturno y música en vivo. Ideal para grupos."
138,Panadería Dulce Hogar Real,"Panadería y repostería: pan fresco, pasteles personalizados y café por la mañana. Ofrecemos estacionamiento."
139,La Cantina Oeste,"Cantina mexicana clásica: botanas, tequilas, mezcales y platos fuertes estilo casero. Ofrecemos pet friendly."
140,Sabor Asiático Clásico,"Comida gourmet. Cocina asiática variada: wok, dim sum, sushi y platos picantes. Servicio rápido."
141,La Casa,"Deliciosa y acogedor. Restaurante tradicional de la casa: platos caseros, pollo a la brasa y guisos al estilo familiar. Ambiente acogedor."
142,El Puerto Moderno,"Comida fresca. Mariscos frescos, ceviche, camarones y pescado a la plancha. Vista al mar y horario para cenas."
143,Doña Lupita Premium,"Selecta y amplio. Comida mexicana auténtica: tacos al pastor, mole poblano y salsas caseras. Excelente para familias."
144,Parrilla Norte Tradicional,"Parrilla y carnes: cortes importados, parrilladas para dos y servicio de cerveza artesanal. Terraza disponible."
145,Sakura Sushi Sur,"Sushi y cocina japonesa: nigiri, maki, ramen y menú vegetariano. Ideal para cenas formales. Estacionamiento disponible."
146,Pizza Roma Trujillo,"Comida fresca. Pizzas al horno de leña, masa fina, ingredientes italianos y opciones vegetarianas. Entrega a domicilio."
147,El Rincón Vegetal Real,"Comida auténtica. Opciones veganas y vegetarianas, bowls, smoothies y postres saludables. Ambiente moderno."
148,Café Central Centro,"Selecta y moderno. Desayunos, brunch y café de especialidad. Tostadas, croissants y pastelería artesanal. Wifi gratis."
149,Tacos El Rey Clásico,"Tacos y antojitos: pastor, bistec, suadero y salsa picante. Comida rápida tradicional. Estacionamiento disponible."
150,La Tasca Imperial,"Tapas y platos españoles: paella, jamón ibérico, sangría y menú para compartir. Música en vivo fines de semana. Ambiente moderno."
151,Mar y Tierra,Deliciosa y luminoso. Fusión mediterránea: platos con mariscos y carnes. Recomendado: risotto de camarón.
152,Bistro Provenza Gourmet,"Cocina francesa y platillos europeos: quiches, crepes y menú ejecutivo al mediodía. Ambiente luminoso."
153,El Mercado Express,Comida gourmet. Ingredientes locales y mercado-cocina: platillos del día con productos de temporada.
154,La Esquina Colonial,"Casera y moderno. Comida rápida y antojitos: hamburguesas gourmet, papas fritas y batidos. Excelente para niños."
155,Brasa y Sazón Clásico,"Pollo rostizado, adobos caseros y guarniciones tradicionales. Servicio familiar y para llevar. Ambiente íntimo."
156,Sabor a Mar Ayacucho,"Especialidad en mariscos y pescados: cócteles de mariscos, filete a la mantequilla. Ofrecemos wifi gratis."
157,Noche de Tapas Moderno,"Bar de tapas y vinos, ambiente nocturno y música en vivo. Ideal para grupos. Ofrecemos para llevar."
158,Panadería Dulce Hogar Real,"Panadería y repostería: pan fresco, pasteles personalizados y café por la mañana. Ofrecemos para llevar."
159,La Cantina Imperial,"Comida selecta. Cantina mexicana clásica: botanas, tequilas, mezcales y platos fuertes estilo casero."
160,Sabor Asiático Sur,"Cocina asiática variada: wok, dim sum, sushi y platos picantes. Servicio rápido. Ambiente íntimo."
161,La Casa,"Restaurante tradicional de la casa: platos caseros, pollo a la brasa y guisos al estilo familiar. Ambiente acogedor. Wifi gratis disponible."
162,El Puerto Express,"Selecta y acogedor. Mariscos frescos, ceviche, camarones y pescado a la plancha. Vista al mar y horario para cenas."
163,Doña Lupita Moderno,"Comida mexicana auténtica: tacos al pastor, mole poblano y salsas caseras. Excelente para familias. Ofrecemos terraza."
164,Parrilla Norte Tradicional,"Comida selecta. Parrilla y carnes: cortes importados, parrilladas para dos y servicio de cerveza artesanal."
165,Sakura Sushi Real,"Sushi y cocina japonesa: nigiri, maki, ramen y menú vegetariano. Ideal para cenas formales. Ofrecemos wifi gratis."
166,Pizza Roma Huancayo,"Pizzas al horno de leña, masa fina, ingredientes italianos y opciones vegetarianas. Entrega a domicilio. Buffet disponible."
167,El Rincón Vegetal Gourmet,"Opciones veganas y vegetarianas, bowls, smoothies y postres saludables. Ambiente moderno. Ambiente acogedor."
168,Café Central Express,"Comida gourmet. Desayunos, brunch y café de especialidad. Tostadas, croissants y pastelería artesanal. Wifi gratis."
169,Tacos El Rey Oeste,"Comida auténtica. Tacos y antojitos: pastor, bistec, suadero y salsa picante. Comida rápida tradicional."
170,La Tasca Imperial,"Auténtica y moderno. Tapas y platos españoles: paella, jamón ibérico, sangría y menú para compartir. Música en vivo fines de semana."
171,Mar y Tierra,Fusión mediterránea: platos con mariscos y carnes. Recomendado: risotto de camarón. Ambiente acogedor.
172,Bistro Provenza Sur,"Cocina francesa y platillos europeos: quiches, crepes y menú ejecutivo al mediodía. Delivery disponible."
173,El Mercado Tradicional,Ingredientes locales y mercado-cocina: platillos del día con productos de temporada. Ofrecemos menú infantil.
174,La Esquina Clásico,"Comida artesanal. Comida rápida y antojitos: hamburguesas gourmet, papas fritas y batidos. Excelente para niños."
175,Brasa y Sazón Oeste,"Pollo rostizado, adobos caseros y guarniciones tradicionales. Servicio familiar y para llevar. Ambiente acogedor."
176,Sabor a Mar Puno,"Especialidad en mariscos y pescados: cócteles de mariscos, filete a la mantequilla. Ofrecemos buffet."
177,Noche de Tapas Tradicional,"Bar de tapas y vinos, ambiente nocturno y música en vivo. Ideal para grupos. Ofrecemos reservas online."
178,Panadería Dulce Hogar Norte,"Deliciosa y íntimo. Panadería y repostería: pan fresco, pasteles personalizados y café por la mañana."
179,La Cantina Real,"Cantina mexicana clásica: botanas, tequilas, mezcales y platos fuertes estilo casero. Terraza disponible."
180,Sabor Asiático Express,"Auténtica y íntimo. Cocina asiática variada: wok, dim sum, sushi y platos picantes. Servicio rápido."
181,La Casa,"Gourmet y familiar. Restaurante tradicional de la casa: platos caseros, pollo a la brasa y guisos al estilo familiar. Ambiente acogedor."
182,El Puerto Clásico,"Mariscos frescos, ceviche, camarones y pescado a la plancha. Vista al mar y horario para cenas. Wifi gratis disponible."
183,Doña Lupita Express,"Comida mexicana auténtica: tacos al pastor, mole poblano y salsas caseras. Excelente para familias. Reservas online disponible."
184,Parrilla Norte Moderno,"Parrilla y carnes: cortes importados, parrilladas para dos y servicio de cerveza artesanal. Ambiente amplio."
185,Sakura Sushi Imperial,"Sushi y cocina japonesa: nigiri, maki, ramen y menú vegetariano. Ideal para cenas formales. Wifi gratis disponible."
186,Pizza Roma Piura,"Pizzas al horno de leña, masa fina, ingredientes italianos y opciones vegetarianas. Entrega a domicilio. Ofrecemos terraza."
187,El Rincón Vegetal Moderno,"Opciones veganas y vegetarianas, bowls, smoothies y postres saludables. Ambiente moderno. Ambiente elegante."
188,Café Central Premium,"Desayunos, brunch y café de especialidad. Tostadas, croissants y pastelería artesanal. Wifi gratis. Ofrecemos estacionamiento."
189,Tacos El Rey Premium,"Tacos y antojitos: pastor, bistec, suadero y salsa picante. Comida rápida tradicional. Ofrecemos música en vivo."
190,La Tasca Centro,"Comida gourmet. Tapas y platos españoles: paella, jamón ibérico, sangría y menú para compartir. Música en vivo fines de semana."
191,Mar y Tierra,Comida casera. Fusión mediterránea: platos con mariscos y carnes. Recomendado: risotto de camarón.
192,Bistro Provenza Premium,"Cocina francesa y platillos europeos: quiches, crepes y menú ejecutivo al mediodía. Ambiente amplio."
193,El Mercado Del Valle,Ingredientes locales y mercado-cocina: platillos del día con productos de temporada. Ambiente rústico.
194,La Esquina Real,"Comida rápida y antojitos: hamburguesas gourmet, papas fritas y batidos. Excelente para niños. Ofrecemos pet friendly."
195,Brasa y Sazón Gourmet,"Casera y luminoso. Pollo rostizado, adobos caseros y guarniciones tradicionales. Servicio familiar y para llevar."
196,Sabor a Mar Moquegua,"Especialidad en mariscos y pescados: cócteles de mariscos, filete a la mantequilla. Ambiente moderno."
197,Noche de Tapas Express,"Bar de tapas y vinos, ambiente nocturno y música en vivo. Ideal para grupos. Ambiente amplio."
198,Panadería Dulce Hogar Tradicional,"Deliciosa y íntimo. Panadería y repostería: pan fresco, pasteles personalizados y café por la mañana."
199,La Cantina Colonial,"Cantina mexicana clásica: botanas, tequilas, mezcales y platos fuertes estilo casero. Ofrecemos wifi gratis."
200,Sabor Asiático Real,"Fresca y moderno. Cocina asiática variada: wok, dim sum, sushi y platos picantes. Servicio rápido."
201,La Casa,"Comida deliciosa. Restaurante tradicional de la casa: platos caseros, pollo a la brasa y guisos al estilo familiar. Ambiente acogedor."
202,El Puerto Centro,"Mariscos frescos, ceviche, camarones y pescado a la plancha. Vista al mar y horario para cenas. Ofrecemos delivery."
203,Doña Lupita Real,"Comida mexicana auténtica: tacos al pastor, mole poblano y salsas caseras. Excelente para familias. Terraza disponible."
204,Parrilla Norte Imperial,"Parrilla y carnes: cortes importados, parrilladas para dos y servicio de cerveza artesanal. Para llevar disponible."
205,Sakura Sushi Sur,"Sushi y cocina japonesa: nigiri, maki, ramen y menú vegetariano. Ideal para cenas formales. Ambiente acogedor."
206,Pizza Roma Huancayo,"Pizzas al horno de leña, masa fina, ingredientes italianos y opciones vegetarianas. Entrega a domicilio. Para llevar disponible."
207,El Rincón Vegetal Clásico,"Comida selecta. Opciones veganas y vegetarianas, bowls, smoothies y postres saludables. Ambiente moderno."
208,Café Central Del Valle,"Deliciosa y luminoso. Desayunos, brunch y café de especialidad. Tostadas, croissants y pastelería artesanal. Wifi gratis."
209,Tacos El Rey Gourmet,"Tacos y antojitos: pastor, bistec, suadero y salsa picante. Comida rápida tradicional. Ofrecemos música en vivo."
210,La Tasca Real,"Comida fresca. Tapas y platos españoles: paella, jamón ibérico, sangría y menú para compartir. Música en vivo fines de semana."
211,Mar y Tierra,Fusión mediterránea: platos con mariscos y carnes. Recomendado: risotto de camarón. Ambiente familiar.
212,Bistro Provenza Express,"Selecta y familiar. Cocina francesa y platillos europeos: quiches, crepes y menú ejecutivo al mediodía."
213,El Mercado Premium,Ingredientes locales y mercado-cocina: platillos del día con productos de temporada. Wifi gratis disponible.
214,La Esquina Sur,"Comida rápida y antojitos: hamburguesas gourmet, papas fritas y batidos. Excelente para niños. Ofrecemos reservas online."
215,Brasa y Sazón Tradicional,"Pollo rostizado, adobos caseros y guarniciones tradicionales. Servicio familiar y para llevar. Ofrecemos menú infantil."
216,Sabor a Mar Huancayo,"Especialidad en mariscos y pescados: cócteles de mariscos, filete a la mantequilla. Para llevar disponible."
